Priority	Can be drawn	Name	Biome Type	Chance To Get Lost	Difficult	Impassable	Flavor Text	Ability	Secret Effect	On Reveal	On Reveal Text	On Visit	OnVisitTooltipOnVisitTooltipText	OnVisitPopupText	Vistation Sprite	Pool 1 Membership	Pool 2	Pool 3	Pool 4
2	Yes	Lodestone Outcropping	Fields	0.00	2		The knowledge required to make compasses was never lost to us, but on our tiny mountaintop, there was no need for them.					Explorers visiting here reduce their chance to get lost by 5%				1	1	1	1
	Yes	Lost Child	Settlement		4			Insert a tile to check on the child, deck a card. (maybe make 5 of these, one for each type so the deck is the same biome you spent)		Place A Worried Mother 3 tiles away						0	1	1	1
	Yes	Lunar Vantage Array	Settlement	0.04	5		A 10,000 year old communication array is ready to recieve one last update from the Lunar Vantage Point Base. But what is it pointed at?	Insert Swamp to reduce the chance of being lost in all placed tiles by 4%, upgrade to Silent Array.								0	0	1	1
Done	No	Megalo Fruit Farm	Woods	0.08	0		Each Megalofruit is as big as a man. Getting them down from the lofty canopy is a challenge.			Deck a forest		Deck a forest				0	0	0	0
	Yes	Merchant Shack	Woods	0.01	-3		An old man lives here		Lose a tile.			Your explorer trades a tile for magic beans. Upgrade to Tattered Shack.				0	1	1	1
DONE	Yes	Mudflat	Swamp													0	0	1	1
	No	Nettled Nest	Woods		0			Insert a tile to deck 1 wasteland, 6 woods, 4 Settlements, 2 Fields. Upgrades to Ball of Nettles		Place 5 adjacent Bristling Walls						0	0	0	0
DONE	Yes	Orchard	Woods		2					Deck a Settlement						0	1	1	1
	Yes	Pale Hall	Wasteland	0.05	-3		Color seeps out of this place until even skin is white with shock.					Add a Journey Plan stop to a random AdjacentDistance=2 tile	Explorer flees in fear.						
Done	Yes	Pine Forest	Woods	0.10	1		The plasticom tells us that the only biome more swarming with life than a forest is the ocean. But who among us has seen the sea?									0	1	1	1
DONE	No	Plasticom	Mountaintop		0		The immortal intelligent computer that has kept Stratohaven running for 10,000 years.	Insert a Woods to upgrade to Global Datamentarian.								0	0	0	0
	Yes	Predatory Distillery	Swamp	0.00	-3		Well… at least it was a good time.		Teleport the explorer to a random explored tile within 5 tiles.			Explorer gets drunk and awakens… somewhere.				0	0	1	1
Done	No	Purification Plant Maintenance Overflow	Mountaintop		0	TRUE	A perfect water recycler, in 10,000 years it has not lost a drop.	Impassable. Insert Swamp to upgrade to The Great River Of Beyond								0	0	0	0
	Yes	Quaint Village	Settlement		4		This tranquil collection of cottages must conceal something more sinister.	Insert a tile to investigate!	Your explorer is still there. Investigate ability upgrades to Wedding Festival	Kill the explorer	The Explorer has gone missing!					0	0	1	1
	Yes	Quicksand	Swamp		-4			Insert a tile, 50% chance for all Explorers to move to an adjacent tile.				Explorers on this tile cannot leave.				0	0	1	1
DONE	Yes	Riparian Glade	Swamp		-1	TRUE		Impassable. Insert a woods to pass and deck a woods.								0	0	1	1
Done	Yes	Robot Buddha	Woods	0.03	1		Nearly as old as the Stratohaven, the Robot Buddha has learned to live sustainably in chaos. It wants nothing, it needs nothing.	None	None							0	1	1	1
2	Yes	Roguish Smile	Woods	0.10	-2		A handsome rogue offers to show us the way, but there's something off about his smile.			Lose a tile, ignore the next tile effect.						0	1	1	1
DONE	Yes	Seed Vault	Settlement	0.05	2		Every seed the last of its kind. We'll restore each linage to the world.			Deck a forest, field, and swamp.						0	0	1	1
DONE	Yes	Settlement	Settlement	0.00	0											0	0	0	0
DONE	No	Silent Array	Settlement	0.00	0		A communcations array listening for a message that will never arrive. Scattered around the base of the array are images of the area from impossibly high above.									0	0	0	0
2	Yes	Smiling Rogue	Woods	0.30	3		A handsome rogue offers to show us the way, but the route is hard to remember.			Place a card from your hand on an adjacent space.						0	1	1	1
DONE	Yes	Smokey Canyon	Wasteland	0.30	-2		*cough* *cough* *hack* *snuff* *gasp*			Places Bonefire 3 hexes away.						0	0	0	1
Done	No	Smouldering Bonefire	Wasteland	0.05	0		Exhausted refugees huddle around a mound of burning bones and warn each other about the dangers they've encountered.									0	0	0	0
DONE	Yes	Soggy Scrubland	Swamp													0	0	1	1
	Yes	Sprawling Hive City	Settlement	0.15	3			insert field to place an adjacent settlement tile. If that was the only adjacent settlement tile, upgrade to hive city heart		place an adjacent settlement tile. If that was the only adjacent settlement tile or there are no ajacent spots, upgrade to hive city heart						0	1	1	1
	No	Spreading Delta	Swamp		0					If next to a Spreading Delta, place 2 adjacent Delta Edges		Move to an adjacent Delta Edge				0	0	0	0
	No	Stasia's Residency	Settlement	0.00	0					Unlocks Pool 4, Deck 4 cards, reveals Control room far away	We found Stasia's home, but she has been dead for many years now. Her husband, now an old man, guards her possessions like precious treasures. From her computer, we extract the coordinates - they lead to a location that's not on any of our maps. It's time to explore these unknown coordinates and unravel the mysteries they hold.					0	0	0	0
	No	Stratolink	Mountaintop	0.00	0		An optical communication beam emitter, capable of transmitting terrabytes of data thousands of miles along line of sight in an instant.	Insert a tile to open a Stratohaven.	Doesn't actually do anything aside from maybe keeping track of how many you've done.	Opens Beat The Game dialog						0	0	0	0
Done	No	Strider Village	Settlement	0.00	0			Unlocks Pool 2, Deck 2 woods and 2 forests, Show Electronic Device tile on other side of The Great Gate						In the village, we found the old man named Bennett. Known among his neighbors for his eccentric interests, Bennett claims he's been experimenting with a strange, beeping box he found buried near the village a decade ago. He insists it's not just scrap metal. His description sounds eerily similar to our old communication devices. Could it be a lost relic from another Stratohaven? We decide to investigate further, hoping to uncover a piece of our forgotten past. He provides the location of where he hid the diary.		0	0	0	0
DONE	No	Submerged Stash	Swamp		3	TRUE	The eclectic riches we found here may lead us back to their owners, but we should not return here once the theives discover what is missing.	Impassable. Insert Wood or Field to visit and deck 6 settlements. Upgrade to Sunken Stash.								0	0	0	0
Done	No	Sunken Stash	Swamp		0	TRUE		Impassable.								0	0	0	0
Done	Yes	Swamp	Swamp	0.00	0											0	0	0	0
DONE	No	Tattered Shack	Woods	0.03	0		No one lives here.	None								0	0	0	0
	Yes	Temple of Saint Bread	Fields		4		After a cup of matcha latte, everything in life looks a little better.	Reveals your card to be a positive effect	The revealed random card is on the upper end of the spectrum of effects. It is revealed to be better than the average effect of that biome.							1	1	1	1
Done	No	The Great Gate	Mountaintop	0.00	0	TRUE	Sealed against the cataclysm for 10,000 years.	Impassable. Insert forest to upgrade to Explorer's Gate.								0	0	0	0
Done	No	The Great River Of Beyond	Mountaintop		0		Now we take in sludge, and give the world a crystal clear river.			Plus 1 Explorer, Place adjacent Crystal Clear River						0	0	0	0
DONE	Yes	Thorngate	Woods		-2	TRUE	Curtains of sharp briars grow so quickly they seem to move.	Insert a woods tile to clear the gateway.	Ability upgrades to Cleared Thorngate							0	1	1	1
DONE	Yes	Toadstool Grove	Woods	0.07	-1		Towering toadstools shade the moist soil.	Insert a woods, deck 2 swamps								0	0	1	1
Done	No	Traveler's Forum	Mountaintop		0		Lectures, memoirs, and scientific illustrations inspire the next generation of explorer dreams.	Insert Wasteland to upgrade to World Academy.		Plus 1 Explorer						0	0	0	0
Done	Yes	Triple Vortex	Wasteland	1.00	-4		I’ve a feeling we’re not in Kansas anymore.		Your explorer gets lost 100% of the time.							0	0	0	1
Done	No	Tumbling River	Mountaintop	0.00	0		Water tumbles head over heals down a thousand feet.			Place an adjacent Waterfall						0	0	0	0
Done	No	Unpassable	Mountaintop		0	TRUE	Too steep to climb.	Impassable								0	0	0	0
Done	No	Vengeful Vantage	Wasteland	0.50	-3		Whistling wails haunt this hillock, whether by wraiths or the wind.			Increase lost chance in all surrounding tiles 20%						0	0	0	0
Done	No	Videonarium	Mountaintop	0.00	0		A crowd has gathered to complete the 9853rd Annual Series Marathon of Friends	insert forest to upgrade to Traveler's Forum.								0	0	0	0
Done	Yes	Village	Settlement	0.04	1		Somehow these people have found a way to survive in 10,000 years of cataclysm.									0	1	1	1
	No	Wagon Caravan	Fields	0.00	0		These nomads have seen a hundred lands, but when they hear about the mountaintop, they promise to visit soon.	Insert a tile to deck 4 settlements, 4 fields, 4 forests, and 1 swamp. Upgrade to Wagon Ruts								0	0	0	0
Done	Yes	Wasteland	Wasteland	0.00	0											0	0	0	0
Done	No	Waterfall	Mountaintop	0.00	0		Mountain meets valley in a plume of mist.									0	0	0	0
	No	Wedding Festival	Settlement	0.00	0		The original Explorer has found love and settled with a local!	Insert a field to attend, deck a field. Insert a forest to attend, deck a forest. Insert a swamp to attend, deck a swamp. Upgrade to Endless festival		Place the tiles that were lost by the previous explorer		A wedding guest loved your toast so much they joined! Plus 1 explorer!				0	0	0	0
Done	Yes	Wetland	Swamp	0.20	-1		Not for us, but the birds seem to enjoy it.									0	0	1	1
	No	Wildfire	Wasteland		0					Upgrade adjacent Bristling Walls to Wildfire. Upgrade to Barren Earth						0	0	0	0
	Yes	Winding Tunnel	Fields	0.00	2		Where does this go?	Skip the effects of the next tile.	None							1	1	1	1
Done	Yes	Winewater Spring	Swamp		1		Unbelievable stories of a land long lost are told here. Something about these myths makes you believe they were once real.		None. This is a reference to the game Where The Water Tastes Like Wine, a strong influence on this game.	Deck 2 cards						0	0	1	1
Done	No	Wolf Copse	Fields	0.05	0		The goats know to stay away from this stand of trees, but traveler's can't tell it from any other.	Insert any tile to not lose a tile when visiting. Insert a Woods tile to upgrade to a Forest.				Explorer flees back to Stratohaven.	Explorer flees back to Stratohaven.		AIPlaceholderArt/WolfHeadIcon	0	0	0	0
Done	Yes	Woods	Woods	0.00	0		The plasticom tells us that the only biome more swarming with life than a forest is the ocean. But who among us has seen the sea?									0	0	0	0
Done	No	World Academy	Mountaintop		0		Shocked by the dangers of a chaotic world, we systemitized prepartions for all explorers.			Plus 1 Explorer						0	0	0	0
Done	No	zzDebug	zzDebug	0.00	0		This is the biome for debug testing cards.									DEBUG	DEBUG	DEBUG	DEBUG
DONE	No	zzDEBUG Draw 1 Card On Place	zzDebug	0.00	0		This tile adds a card to your deck when you place it.			Draw 2 card						DEBUG	DEBUG	DEBUG	DEBUG
DONE	No	zzDEBUG Draw 10 Cards	zzDebug	0.00	0		This card's ability takes any card and adds 10 cards to your deck.									DEBUG	DEBUG	DEBUG	DEBUG
DONE	No	zzDebug Place 1 Adjacent	zzDebug	0.00	0		This tile places 1 adjacent grasslands no more than distance 1.									DEBUG	DEBUG	DEBUG	DEBUG
	No	zzDEBUG Place 9 Adjacent	zzDebug	0.00	0		This tile places 9 adjacent grasslands on unexplored tiles no more than 2 adjacency distance away.									DEBUG	DEBUG	DEBUG	DEBUG
done	No	zzDEBUG Remove All Plan Tiles	zzDebug	0.00	0		This card removes all the tiles in the Journey plan, leaving empty slots to the existing destinations.			remove all plan tiles						DEBUG	DEBUG	DEBUG	DEBUG
done	No	zzDEBUG Remove First Plan Tile	zzDebug	0.00	0		This card removes the first tile in the Journey plan, leaving an empty slot to the existing destination.			Remove first plan tile						DEBUG	DEBUG	DEBUG	DEBUG
done	No	zzDebug Remove Last Plan Tile	zzDebug	0.00	0		This card removes the last tile in the Journey plan, leaving an empty slot to the existing destination.			remove last plan tile						DEBUG	DEBUG	DEBUG	DEBUG
done	No	zzDebug Remove Random Plan Tile	zzDebug	0.00	0		This card removes a random tile in the Journey plan, leaving an empty slot to the existing destination.			remove random plan tile						DEBUG	DEBUG	DEBUG	DEBUG
	No	Hive City Heart	Settlement	0.00	1											0	0	0	0
	No	Wagon Ruts	Fields	0.00	0		Signs of travelers that passed through here									0	0	0	0
	No	Ball of Nettles	Woods		0											0	0	0	0
Done	No	zzDEBUG Place Random Swamp	zzDebug	0.00	0		This tile places a random swamp adjacent to this tile when placed.									DEBUG	DEBUG	DEBUG	DEBUG
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
	Yes																		
